"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.580149324E0,3.730189800E-2,5.352945328E-1,-4.727058411E-1
1.584999012E0,-1.054034233E-1,5.715168715E-1,-4.311370850E-1
1.589849532E0,-7.436299324E-2,8.164796829E-1,-4.161815643E-1
1.594700730E0,-6.345152855E-2,9.881230593E-1,-3.801336288E-1
1.599551199E0,-1.960816383E-1,1.018140078E0,-3.041963577E-1
1.604400835E0,-3.006923199E-1,9.507483244E-1,-3.218460083E-1
1.609251303E0,-3.375470638E-1,9.793870449E-1,-2.900133133E-1
1.614102553E0,-2.643959522E-1,1.058283091E0,-2.471141815E-1
1.618953022E0,-2.313652039E-1,1.151655436E0,-1.955928802E-1
1.623802605E0,-2.221941948E-1,1.169625044E0,-1.975040436E-1
1.628653126E0,-2.728025913E-1,1.129151821E0,-2.144737244E-1
1.633504376E0,-3.327150345E-1,1.052034736E0,-1.252565384E-1
1.638354741E0,-3.582932949E-1,9.792072773E-1,1.073827744E-1
1.643204428E0,-3.510270119E-1,9.510056973E-1,3.495655060E-1
1.648054949E0,-3.657915592E-1,8.674117327E-1,4.943685532E-1
1.652906147E0,-4.127235413E-1,7.854326963E-1,5.852479935E-1
1.657756616E0,-4.706137180E-1,6.997066736E-1,7.390203476E-1
1.662606251E0,-4.821441174E-1,5.765626431E-1,1.055027962E0
1.667456720E0,-4.373204708E-1,5.084229708E-1,1.430128098E0
1.672307970E0,-3.876540661E-1,4.231381416E-1,1.754978180E0
1.677158439E0,-3.345396519E-1,3.583461046E-1,2.044556618E0
1.682008022E0,-3.061206341E-1,2.497519255E-1,2.166283607E0
1.686858543E0,-3.021852970E-1,9.076726437E-2,2.254468918E0
1.691709793E0,-2.256937027E-1,-1.572489738E-2,2.173876762E0
1.696560157E0,-1.276617050E-1,-1.204861403E-1,2.048603058E0
1.701409845E0,-3.585171700E-2,-2.045892477E-1,1.878847122E0
1.706260366E0,2.560567856E-2,-5.758758783E-1,1.640771866E0
1.711111564E0,2.071613073E-1,-6.209497452E-1,1.303258896E0
1.715962032E0,3.577950001E-1,-5.737916231E-1,9.714012146E-1
1.720811668E0,4.147166014E-1,-7.468666434E-1,7.069730759E-1
1.725662137E0,4.893494844E-1,-8.938219547E-1,5.764255524E-1
1.730513387E0,6.089754105E-1,-9.815559387E-1,5.003576279E-1
1.735363855E0,6.981492043E-1,-1.034561396E0,5.046749115E-1
1.740213439E0,8.514255285E-1,-1.015227318E0,5.078582764E-1
1.745063960E0,9.288504124E-1,-1.024203539E0,4.977416992E-1
1.749915210E0,8.217402697E-1,-1.102287054E0,7.826166153E-1
1.754765678E0,6.352467537E-1,-1.139833450E0,1.183115959E0
1.759615262E0,5.763498545E-1,-1.004394650E0,1.522767067E0
1.764465782E0,5.989396572E-1,-9.454908371E-1,1.718242645E0
1.769317032E0,5.423660278E-1,-1.004642963E0,1.841672897E0
1.774167397E0,4.761394262E-1,-1.041238546E0,1.972164154E0
1.779017085E0,4.058575630E-1,-1.053802490E0,2.155367851E0
1.783867553E0,4.294773340E-1,-1.076310635E0,2.350653648E0
1.788718803E0,5.600732565E-1,-1.101788759E0,2.515332222E0
1.793569272E0,3.038576841E-1,-8.993299603E-1,2.757609367E0
1.798418855E0,3.597900867E-1,-9.473213553E-1,2.676336288E0
1.803269376E0,5.789878368E-1,-1.170506239E0,2.446599007E0
1.808120626E0,6.761578321E-1,-1.236084461E0,2.061450005E0
1.812971095E0,6.275175810E-1,-1.203442097E0,1.709785461E0
1.817820678E0,4.627984762E-1,-1.287609816E0,1.362981796E0
1.822671199E0,2.711325884E-1,-1.339635730E0,9.302949905E-1
1.827522449E0,1.474366188E-1,-1.294219971E0,3.615674973E-1
1.832372814E0,1.287113428E-1,-1.432333827E0,-3.865261078E-1
